id,title,release_at,news_type.name,keyword_dpp,keyword_han,keyword_kmt,keyword_tsai,url
D0xdO8jBaY,蔡英文接見英駐台代表唐凱琳 盼深化台英關係,2020-01-17 18:01:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/D0xdO8jBaY
kYaDLKR9a9,蔡英文當選第6天 LSE校長詭異未發賀電,2020-01-17 17:01:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/kYaDLKR9a9
yDa2XbNNnK,感恩餐會 蔡英文：逆風拚到逆轉 就是民進黨精神,2020-01-17 16:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/yDa2XbNNnK
8knJeKodxo,首位原住民上將徐衍璞授階　蔡英文：國土主權寸步不讓,2020-01-17 14:01:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/8knJeKodxo
gOnLRKKpak,獨家》陳師孟在許宗力挺法官前請辭監委 已獲蔡英文核准,2020-01-17 01:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/gOnLRKKpak
14a1GN00nk,蔡英文視察國軍：最大的責任是提升軍人尊嚴,2020-01-16 17:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/14a1GN00nk
bKxrzE1jx9,蔡英文稱「中華民國台灣」  曾銘宗：到底是哪國總統？,2020-01-16 15:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/bKxrzE1jx9
M9n6DkY3aR,蔡英文視察國軍269旅 頒發加菜金,2020-01-16 15:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/M9n6DkY3aR
BexX7gPJab,LSE官網發賀電？彭文正拋3大疑點開嗆！,2020-01-16 14:20:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/BexX7gPJab
KwnKgKkmnY,蔡英文主持出席空軍新竹建營舍啟用典禮：是沈一鳴爭取的,2020-01-16 14:05:01,社會萬象,0,0,0,1,https://ctinews.com/news/items/KwnKgKkmnY
q6xVVMdGx7,林佳新提兩大問題 呼籲蔡英文應積極處理！,2020-01-16 13:05:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/q6xVVMdGx7
rbW4EL83aL,蔡英文連任 孫大千提這件事喊：拭目以待,2020-01-16 11:20:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/rbW4EL83aL
9pWzVEvKWv,蔡英文遭媒體指改國號 府駁：胡亂指控,2020-01-15 21:01:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/9pWzVEvKWv
zMW5e133WN,蔡英文公布反滲透法 藍委提出釋憲,2020-01-15 21:01:01,政治要聞,0,0,0,1,https://ctinews.com/news/items/zMW5e133WN
rPnvpEjvaY,蔡英文：每個國民照顧不能因政治傾向而減損,2020-01-15 19:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/rPnvpEjvaY
BexX7gdPab,反滲透法上路 蔡英文：將公告違法和不違法樣態,2020-01-15 17:01:02,政治要聞,0,0,0,1,https://ctinews.com/news/items/BexX7gdPab
dynykvjQaZ,提蔡英文博士論文不存在 彭文正敗訴,2020-01-15 16:11:01,社會萬象,0,0,0,1,https://ctinews.com/news/items/dynykvjQaZ
