,title,description,published date,url,publisher,source,content
0,2020蔡英文力拚連任 競選團隊今授旗 ｜ 公視新聞網 PNN - 公視新聞,2020蔡英文力拚連任 競選團隊今授旗 ｜ 公視新聞網 PNN  公視新聞,"Sun, 01 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ0NDQw0gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDQ0NDAvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,2020總統大選競爭激烈，總統蔡英文拚連任，今天舉行競選團隊的全國授證大會，也親自授旗。競選辦公室總幹事林錫耀強調，面對網路的影響力越來越大，會加強網路戰，來拚2020勝選。一早出席競選團隊的全國授證大會，總統蔡英文展現好心情。面對2020總統選舉，藍營有韓國瑜將挑戰蔡總統連任，另外鴻海創辦人郭台銘等人，都傳出可能加入戰局，綠營選戰布局更是積極，上、下午兩場授證大會，也象徵各地的競選團隊正式動起來。蔡英文競選辦公室總幹事林錫耀表示，「網路的影響力越來越大，所以傳統在各地的組織戰，當然就必須適應這一個新的社會潮流。」蔡英文競選辦公室副總幹事沈發惠也說，「各後援會往前，等於今天開始啟動，大家大步向前邁進。」而在地方競選工作分配上，綠營執政的6縣市首長，都將擔任該縣市蔡英文競選總部的主委，把地方票鞏固起來。蔡英文基隆競總主委林右昌說，「我對我們的同志有信心，也希望大家繼續給民進黨支持、給民進黨機會。」蔡英文桃園競總主委鄭文燦也表示，「距離1月11號投票日，還有將近4個多月的時間，我想我們會配合競選總部的規劃、往前走。」林錫耀強調，目前距離大選還有4個月，面對各種戰情的變化，民進黨更要戰戰兢兢，不能掉以輕心，以求2020勝選。                 
1,賀德芬質疑蔡英文 無影提著博士學位 ｜ 公視新聞網 PNN - 公視新聞,賀德芬質疑蔡英文 無影提著博士學位 ｜ 公視新聞網 PNN  公視新聞,"Thu, 29 Aug 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ0MTAy0gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDQxMDIvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,臺灣大學的名譽教授賀德芬，早起召開記者會，表示伊有調查的資料講，蔡英文總統是無佇咧1984年，提著英國倫敦政經學院博士的學位。抑這陣伊是運用規个國家頂下的跤手咧替伊造假，毋過總統府也有即時出來澄清，閣展出蔡總統的畢業證書遮的書類，嘛講會蒐集證據提出告訴，捍衛總統本身的權益。==總統 蔡英文==我要清楚表明的是我們採購軍備不是為了要引發衝突而是我們大家都明白實力才能讓霸權有所忌憚28號以錄影方式，在美國退伍軍團協會年度大會發表談話，這是總統蔡英文首度獲邀致詞，強調台灣捍衛民主自由的決心，不向壓力屈服，蔡總統力拚國政，但文憑爭議，卻沒有消退，雖然之前曾秀出倫敦政經學院的畢業證書，但台大名譽教授賀德芬召開記者會，表示根據台裔教授林環牆的調查，蔡總統並沒有在1984年取得博士學位，這些是利用國家機器在造假。==台大名譽教授 賀德芬==一個國家的元首拿著自己的博士論文假的在這裡搖晃如果屬實的話請撤銷蔡總統的教授資格追回三十幾年來她的薪資如果不是的話我們就很心安理得的票投給她賀德芬認為蔡總統應該在一周內親自出面回應她的三大質疑，也強調從管案後認清蔡英文的真面目，現在純粹是就事論事，不過總統府也立刻出示畢業證書以及相關文件嚴正澄清。==總統府發言人 張惇涵==相關的文憑跟官方的證明就在我手上有官印如果這樣子還不能夠證明的話就像我剛剛說的就到法院去來證明總統府強調相關爭議2015年蔡總統參選時，倫敦政經學院及教育部都做出過說明澄清，也都找得到資料，針對長期對文憑的不實指控與謠言，將會蒐集相關資料後，向司法單位提起告訴，捍衛蔡總統的權益。記者 韓瑩 吳嘉堡 王興中 台北報導                 
2,小二生向杰恩 國防教育貢獻獎最小得主 ｜ 公視新聞網 PNN - 公視新聞,小二生向杰恩 國防教育貢獻獎最小得主 ｜ 公視新聞網 PNN  公視新聞,"Fri, 30 Aug 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ0MzU10gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDQzNTUvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,                                        九三軍人節前夕，國防部舉行表揚活動，獲獎者中最吸睛的是穿著國軍儀隊制服、剛升上小二的小禮兵向杰恩，他拿到全民國防教育傑出貢獻獎，成為歷年來最年輕獲獎人。穿著國軍儀隊制服、從總統蔡英文手上接過獎座，可愛模樣吸引目光，開學升上小學二年級的小禮兵向杰恩獲頒108年全民國防教育傑出貢獻獎個人獎，成為歷年來最年輕的獲獎者。向杰恩說：「我很感謝小英總統頒發給我這個獎，謝謝儀隊大哥哥教我槍法，也謝謝爸爸媽媽教我......不對，謝謝爸爸媽媽讓我實現這個夢想。」原本根據《陸海空軍服制條例》規定，非現役軍人沒有經過許可不得穿著國軍制服，不過向杰恩事前有獲得國防部核准。另外，貢獻獎團體獎則是由先前洪仲丘服役的單位、陸軍裝甲五四二旅獲獎，旅長侯嘉倫說部隊透過營區參訪跟舉辦戰鬥營等活動拉近軍民距離，對於之前洪仲丘的事會記取教訓。陸軍裝甲第五四二旅旅長侯嘉倫說：「在各級的長官以及我們歷任旅長的領導之下，我們早已走出這個陰霾，甚至說都已經沒有在這個，我們只是把它當作一個教訓。」服役超過70年、海軍茄比級潛艦海獅軍艦，在去年完成大修後重新投入戰備演訓，並且在年度漢光演習及各項操演中圓滿達成任務，榮獲今年國軍模範團體。                 
3,東京奧運上週總領隊會議 確認組團事宜 ｜ 公視新聞網 PNN - 公視新聞,東京奧運上週總領隊會議 確認組團事宜 ｜ 公視新聞網 PNN  公視新聞,"Tue, 27 Aug 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQzODQ20gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDM4NDYvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,                                        中華奧會在上星期前往東京出席「總領隊」會議，確認2020東京奧運組團的行政事宜。奧會指出，這次有200多國家與會，大家都反映說奧運門票太少了。以台灣來說，第一波門票只分到一千八百多張，確實搶得很兇，但只要台灣取得參賽資格的項目和選手越多，後面應該有機會可以分到比較票。2020東京奧運還沒開始，東京奧組委和東京都宣傳一波波，週週有亮點！台日關係友好，東京都知事小池百合子，上周和出席總領隊會議的中華奧會顧問孫立群晤談。孫立群說：「比較有一點點不一樣的地方，就是我們試著利用這些運動會的機會，跟這些(他國)駐日代表去建立議一些更好的一些互動的關係。」強化互動，並與他國奧會交流，總領隊會議針對選手食衣住行醫療和票務等行政細節，也是此行重點，和選手權益最相關的，是可穿著廠商贊助個人的衣鞋。會議中，多數國家最關切的是門票。中華奧會國際組長徐孝慈表示：「其實大家都覺得在票的這個申請分配上面，都有不足的情況，所以可見東京奧運它是，因為是真的是一個全球矚目的一個奧運會。」台灣第一波分到三千多張門票，有人買到一晚5萬六的套票，不便宜，很多人上網登記搶1800張門票，924才知道結果，若期待下一波配到的票多一點，得寄望選手表現。 孫立群說：「票的東西也牽涉到你這個國家對這個運動(表現)，譬如說我們現在田徑拿到的票非常非常的少，因為我們田徑選手達標的還非常的少。」體育署表示，截至目前為止，台灣已在射擊、射箭、田徑和游泳，取得10席參賽資格，評估舉重、桌球、羽毛球、體操的機會大，爭取到參賽資格，是今年各運動種類培訓隊，備戰奧運最重要的任務。
4,三軍士官學校開學 總統提5大改革方向 ｜ 公視新聞網 PNN - 公視新聞,三軍士官學校開學 總統提5大改革方向 ｜ 公視新聞網 PNN  公視新聞,"Fri, 06 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ1MjA00gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDUyMDQvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,三軍統帥的蔡英文總統，今天首度為士官專科學校新入學班隊舉行聯合開學典禮，代表政府重視士官的專業地位和養成培訓。蔡英文宣布要提升士官素質，並調高士官的待遇。總統蔡英文6日親自主持三軍士官專校聯合開學典禮，這是國軍有史以來，第一次為士官專科學校新生入學舉行聯合開學典禮，象徵政府重視士官的專業地位和養成培訓。蔡英文表示，「請國防部未來持續辦理，來鼓勵剛剛入校培訓的年輕人，傳承士官以身作則的精神，並肯定現役士官的貢獻，提升國軍整體的士氣。」蔡英文致詞時表示，軍士官都是一家人，士官更是協助軍官達成任務的主要助手，期許士官勇猛頑強、犧牲奉獻、以身作則的傳統精神，能夠持續傳承下去，也希望新生的活潑生動，成為未來士官創新的動力。不少新生都表示出對於開學的興奮與期許。海軍官校二專班學生羅惠馨說，「大家一起穿著軍服在這邊，接受總統的慰問還有開學，是非常的興奮又期待。」陸軍專科學校學生曾寶琪也說，「在畢業之後，如果能成為一個允文允武的優秀士官，我希望能夠有出國進修的機會，我希望能去當裝甲兵、到國外接裝。」空軍航空技術學院學生陳彥霖也表示，「高職時就非常嚮往修飛機，航空技術學院不只可以供學生出國比賽，也可以練英文。」蔡英文宣示，未來士官制度改革將朝5大方向前進，鼓勵進修，提升士官素質；調高士官待遇；善用士官接地氣，提升地方對國軍認同；照顧退役士官，給予就學就業照顧，貢獻社會協助產業發展；另外，持續辦理三軍士官開學典禮榮耀傳承日。 
5,基隆山海城串聯計畫 三億建電梯拚觀光 ｜ 公視新聞網 PNN - 公視新聞,基隆山海城串聯計畫 三億建電梯拚觀光 ｜ 公視新聞網 PNN  公視新聞,"Wed, 04 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ0OTY40gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDQ5NjgvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,基隆山海城串聯計畫，今天上午舉辦動土典禮，基隆市府力拚郵輪觀光，將斥資三億元打造立體電梯串連主普壇跟中正公園。但有在地旅行業者與店家憂心，郵輪觀光客一下船，就往台北知名景點跑，如何包裝景點留住觀光客，才是眼前難題。未來在基隆市區，將會有一道立體電梯豎立在基隆義二路上，旅客可搭這道電梯，連結中正公園扇型廣場、直達主普壇。這是基隆市政府砸下三億元的「基隆山海串聯計畫」，預計110年完工。基隆市長林右昌表示，「今天也完成動土，就是我們有一個豎梯可以直達主普壇，未來也會變成是郵輪旅客他們出入的動線。」基隆市府計畫串接東岸郵輪大樓出入口，郵輪旅客可搭乘電梯上山，眺望基隆港山海美景。不過當地旅遊業者指出，郵輪觀光客落地時間只有8小時，旅客一下船幾乎都往故宮、101台北知名景點跑，如何把觀光客留在基隆在地，是眼前難題。基隆店家朱小姐就說，「他們最主要還是直接去台北，不會在這邊。」旅行業者姜嘉民表示，「下船遊覽車已經在外面等，整團帶去，這是團客，基本上能夠服務到的就是散客，像台北的景點名氣是很大，加上他們停留的時間是比較短暫。」有議員認為，基隆多高山，的確需要電梯設備方便觀光客，但是上億元的硬體設備砸下去，其他軟體配套、文化導覽能否跟上，才是重點。基隆市議員張之豪指出，「遊客他搭了這個電梯上去，他看到主普壇，他如果不知道主普壇是什麼，對他來講這（只）是一個山頭。」根據統計2018年全台港口停靠人次突破100萬，其中基隆港就佔了94萬人次，歷年來也是我國運量最大的港口。基隆港務分公司統計，去年基隆港搭乘郵輪的外國旅客有28萬1千多人次，今年上半年到七月為止，來到18萬人，超過去年同期。基隆市交通旅遊處處長李綱強調，「不是打個體戰，我們是打群體戰，（日本旅行業）開三艘大型郵輪，每一艘都四千人左右，指定留在基隆。」基隆市交通旅遊處表示，對日本遊客來說，基隆當地也具有灣生歷史記憶，希望透過打造歷史景點，吸引日客駐留。 
6,行政院宣布廢除85年歷史印花稅 ｜ 公視新聞網 PNN - 公視新聞,行政院宣布廢除85年歷史印花稅 ｜ 公視新聞網 PNN  公視新聞,"Thu, 12 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ2MDU00gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDYwNTQvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,                                        行政院會拍板通過廢除印花稅，預計最快明年取消，然而印花稅屬於地方稅，若取消，地方稅收每年恐短少約120億，國民黨因此痛批，此舉是政策買票。但財政部也說明，地方稅收短缺的部份，第一年會先編列預算補足，未來再納入財政收支劃分法、分配地方稅源。而在六都當中，衝擊最大的是台北市，每年稅收將減少6%，市長柯文哲說，如果基於簡政輕稅，來廢除印花稅，那他是同意的，但前提是中央必須說明，台北市一年少掉49億稅收，該怎麼處理。行政院會拍板，通過廢除《印花稅法》，印花稅即將走入歷史。施行85年的元老級印花稅，屬於地方重要財源，尤其北市府，約占北市總稅收6%，一年超過40億，引發「中央請客，地方買單」的說法。台北市長柯文哲表示，「中央政府基於這個簡政的理由，要廢除印花稅我們是同意，但是要先告訴我們說，那我們台北市，如果一年少掉49億元，這要怎麼處理。」他也重申，自己同意廢除印花稅，但中央政府應說清楚，短缺財源如何補足。行政院長蘇貞昌回應，地方短缺的稅收，中央將全額補助。行政院長蘇貞昌回應，「要和地方政府溝通，但地方政府放心，因為停止收印花稅所減少的稅收，中央一定會給地方縣市政府補足。」財政部長蘇建榮也說明，「110年以後，就是由我們財政部賦稅署，編列預算補足，那麼如果更長遠的規劃來看，未來會納入財政收支劃分法。」印花稅占全國總稅收比率不到1％，地方政府反彈，但多數民眾無感。印花稅課徵常見於日常生活中，包括醫院看診，自費金額，只要超過250元，就要繳印花稅，稅率是千分之四。舉例來說，如果植牙10萬元，就要繳400元印花稅。還有統一發票中獎，只要超過250元，也要繳千分之四印花稅，另外，像是房屋產權移轉登記，印花稅由買方支付，稅額是公告現值千分之。以一棟兩億元的豪宅為例，印花稅要6萬多。還包括電梯保養、裝修、建商簽訂工程契約，都屬於「承攬契據」，印花稅都要徵收千分之一。台北商業大學財政稅務系主任楊葉承指出，「印花稅是流通稅，不要太複雜太繁瑣，只要流通障礙降低了，其實未來的稅源搞不好會增加。」學者表示，印花稅多數依「憑證」課稅，但契據種類繁多，常會造成納稅義務人困擾。再加上逃漏心態與稽查困難。但印花稅法廢止案，還須經立法院審議，行政院強調是本會期最優先法案，如果通過廢除，預計最快明年取消印花稅。 
7,吉里巴斯斷交 中國稱「歡迎重返大家庭」 ｜ 公視新聞網 PNN - 公視新聞,吉里巴斯斷交 中國稱「歡迎重返大家庭」 ｜ 公視新聞網 PNN  公視新聞,"Fri, 20 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ3MTY00gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDcxNjQvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,吉里巴斯與我斷交、轉向中國且承認一中原則，中國外交部表達高度讚賞，還說歡迎吉里巴斯重返中國與島國合作的大家庭。學者分析，中國打壓動作頻頻是企圖影響台灣大選，但也可能造成反效果。而中國鎖定南太區域大撒銀彈，專家分析，不只是為了兩岸關係，更重要的是要衝擊美澳同盟關係，削弱美國在亞太地區的影響力。中國又挖走台灣南太平洋邦交國吉里巴斯，孤立台灣外交關係的企圖明顯，中國外交部還讚賞吉國政府承認一中原則。中國外交部發言人耿爽表示，「中方對吉里巴斯政府做出承認一個中國原則，同台灣當局斷絕所謂外交關係，表示高度讚賞。」蔡政府一周連斷兩個邦交國，韓國瑜國政顧問張善政痛批，在蔡政府身上看不到應付惡劣局面的辦法，「我更替你蔡英文總統，你自己將來到時候，你會是我們中華民國裡面，歷任總統裡面，我剛說的，外交政策、外交成績最難看的一個總統，你有臉繼續擔任下去嗎？」由於近日中國打壓台灣外交動作頻頻，也被解讀企圖介入台灣2020大選，學者分析，中國此舉恐怕對台灣選民影響不大，甚至可能造成反效果，不過由於10月即將召開中共四中全會，中國國家主席習近平面臨黨內挑戰，而且未來2022年中共二十大，習近平該怎麼確保連任、也已經展開布局。政治大學名譽教授丁樹範表示，「如果他（習近平）能夠在台灣問題上有所建樹的話，特別事實上，如果台灣的統一是變成不可逆的話，當然他在2022年他要繼續留任的話，那麼人家就很難對他形成質疑，或甚至於挑戰。」專家分析，中國鎖定南太區域更是著重在地緣戰略，被挖走的索羅門群島、吉里巴斯，加上傳出邦交可能鬆動的吐瓦魯，都位於第二島鏈的重要位置，如果未來中國在這些區域部署軍事設施，最直接衝擊的就是美澳同盟關係。國防安全研究院國防資源與產業研究所長蘇紫雲指出，「所謂的南洋戰爭這個海權的爭奪，第二島鏈也是一個很重要位置。」吉里巴斯距離美國太平洋艦隊所在地的夏威夷大約2千多公里，專家說如果吉國願意讓中國部署，殲-15戰機加掛油箱再搭配巡弋飛彈，夏威夷恐怕會直接面臨威脅，而且可以切斷美國與第二島鏈西邊盟友的聯繫，中國布局南太、企圖削弱美國在亞太地區的影響力。                 
8,員警反映新制服透氣差 夜晚值勤不安全 ｜ 公視新聞網 PNN - 公視新聞,員警反映新制服透氣差 夜晚值勤不安全 ｜ 公視新聞網 PNN  公視新聞,"Tue, 17 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ2NjY40gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDY2NjgvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,                                        新版警察制服在4月份全面換新，但有基層員警向立委反應，新制服的透氣度很低，穿起來像是洗三溫暖；夜間服勤的時候，因為衣服的顏色太暗，有安全顧慮。對此，警政署強調，會針對新制服缺點進行調查，也找到透氣度更高的材質，來做為明年要訂做新制服的選擇，並會針對反光度進行檢討。穿著新版警察制服的員警認真的執勤，這套經過全國警察票選出來的戰鬥型制服，從4月全面換新以來，卻遭到基層員警頻頻反應，新制服透氣度低，容易有汗漬；夜間服勤時，因為顏色太暗、與夜間同色，必須加穿反光背心，或是貼上反光條，不然很容易有值勤安全的顧慮。基層員警指出：「這個制服會比較悶熱一點，所以說我是每天要換洗，不然的話會有汗漬在後面會產生。」、「顏色的確是比較深，所以在深夜值勤的時候都需要加穿反光背心，以提升我們的安全。」基層員警也向立委陳情，希望警政署能改善問題，保障員警安全。對此，警政署強調，5月間有針對新制服優缺點，進行調查，已經尋找透氣度更高的材質，做為明年訂購新制服之用。警政署後勤組長蔡丁賢回應：「我們現在另外再找材料，就包括長袖跟短袖的上衣，我們已經找了7種的布料，它的透氣度是30度，那30的意思就是比20(新制服透氣度)會更透氣，那這些我們在今年把它定案。」警政署強調，戰鬥型的新制服，雖然抗拉扯、抗磨損，也抗紫外線，適合外勤使用，可是透氣度比較不足，一定會進行改善；至於顏色太暗的問題，已經請專家設計，未來將在肩上或背部，加上反光條，保障員警執勤安全。                
9,"臺灣造的高級教練機出廠 總統掛牌號名""勇鷹"" ｜ 公視新聞網 PNN - 公視新聞","臺灣造的高級教練機出廠 總統掛牌號名""勇鷹"" ｜ 公視新聞網 PNN  公視新聞","Tue, 24 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5wdHMub3JnLnR3L2FydGljbGUvNDQ3NTU10gEqaHR0cHM6Ly9uZXdzLnB0cy5vcmcudHcvYXJ0aWNsZS80NDc1NTUvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.pts.org.tw', 'title': '公視新聞'}",pts,"由咱臺灣製造、頭一隻的新型高等噴射教練機，佇今仔日正式出廠，由三軍統帥、總統蔡英文，親身舉行掛牌典禮，號名做""勇鷹""，蔡英文也講：一路行來，搪著真濟困難、抹烏打擊，落尾也總算證明，咱家己製造飛行機是正確的。搭配氣勢磅礡的音樂，被喻為國機國造起手式的空軍新式高級教練機，24日在國人面前正式亮相。身為三軍統帥的總統蔡英文親自為高教機掛牌、定名為""勇鷹""，並且登機視導。坐在高教機上比讚，蔡英文說今天是空軍的大日子，也是國內航太產業重要里程碑，肯定落實國防自主理念。==總統 蔡英文==雖然這一路走來我們遇到很多困難有很多的抹黑 打擊甚至於唱衰 但事實證明當我們的堅持是正確的而我們努力是值得的""勇鷹""的紅白藍塗裝是以國旗色系為發想，外型則承襲IDF經國號戰機低阻力、高攻角的氣動力特性，不過整台飛機結構重新設計布局，強化地面滑行穩定性，機身模線配合增高以增加內燃油承載量，可以延長滯空時間並且增加航程。==漢翔公司總經理 馬萬鈞==就目前為止 55%的自製率是在所有的飛機裡面算是非常非常高技術部分自有的 像我們的各位看不見的那些飛控軟體或者是我們的航電軟體這些最重要核心部分軟體我們都是100%自有掌握的新式高教機""勇鷹""預計2020年6月進行首飛。未來可望取代AT-3高教機及F-5部訓機，讓飛行訓練流程從現行的三階段三機種，簡化為三階段兩機種。記者 歐芸榕 吳嘉堡 陳昌維 綜合報導                 "
